
Camera FPS set to: 30
Camera resolution set to: 800x448

11:10:29.952: 2019278ms, Total frame: 1
11:10:29.973: Frames in the last second: 2, Frame loss: 0, Total frame: 2
11:10:30.049: 96882ms, Total frame: 2
11:10:30.086: 32845ms, Total frame: 3
11:10:30.239: 153109ms, Total frame: 4
11:10:30.257: 18192ms, Total frame: 5
11:10:30.390: 115604ms, Total frame: 6
11:10:30.494: 75023ms, Total frame: 7
11:10:30.544: 49846ms, Total frame: 8
11:10:30.710: 166132ms, Total frame: 9
11:10:30.787: 76363ms, Total frame: 10
11:10:30.814: 26093ms, Total frame: 11
11:10:30.900: 85783ms, Total frame: 12
11:10:30.974: Frames in the last second: 11, Frame loss: 0, Total frame: 13
11:10:31.008: 108047ms, Total frame: 13
11:10:31.042: 21596ms, Total frame: 14
11:10:31.140: 98091ms, Total frame: 15
11:10:31.236: 95944ms, Total frame: 16
11:10:31.311: 71718ms, Total frame: 17
11:10:31.398: 80000ms, Total frame: 18
11:10:31.440: 38239ms, Total frame: 19
11:10:31.500: 57895ms, Total frame: 20
11:10:31.558: 50676ms, Total frame: 21
11:10:31.678: 119408ms, Total frame: 22
11:10:31.720: 42297ms, Total frame: 23
11:10:31.881: 160792ms, Total frame: 24
11:10:31.929: 41720ms, Total frame: 25
11:10:31.989: 54355ms, Total frame: 26
11:10:32.014: Frames in the last second: 14, Frame loss: 0, Total frame: 27
11:10:32.053: 64579ms, Total frame: 27
11:10:32.176: 122767ms, Total frame: 28
11:10:32.227: 50868ms, Total frame: 29
11:10:32.302: 75129ms, Total frame: 30
11:10:32.351: 46141ms, Total frame: 31
11:10:32.419: 67912ms, Total frame: 32
11:10:32.504: 84794ms, Total frame: 33
11:10:32.589: 84111ms, Total frame: 34
11:10:32.705: 115846ms, Total frame: 35
11:10:32.838: 133252ms, Total frame: 36
11:10:32.909: 67728ms, Total frame: 37
11:10:32.974: 65302ms, Total frame: 38
11:10:33.016: 39197ms, Total frame: 39
11:10:33.072: Frames in the last second: 13, Frame loss: 0, Total frame: 40
11:10:33.093: 76873ms, Total frame: 40
11:10:33.205: 111726ms, Total frame: 41
11:10:33.302: 96907ms, Total frame: 42
11:10:33.323: 14084ms, Total frame: 43
11:10:33.389: 65882ms, Total frame: 44
