
Camera FPS set to: 30
Camera resolution set to: 640x480

13:50:44.042: 959462ms, Total frame: 1
13:50:44.050: 7158ms, Total frame: 2
13:50:44.064: 14384ms, Total frame: 3
13:50:44.095: Frames in the last second: 4, Frame loss: 0, Total frame: 4
13:50:44.216: 151675ms, Total frame: 4
13:50:44.284: 68009ms, Total frame: 5
13:50:44.327: 42448ms, Total frame: 6
13:50:44.340: 12593ms, Total frame: 7
13:50:44.380: 39582ms, Total frame: 8
13:50:44.421: 41517ms, Total frame: 9
13:50:44.460: 32394ms, Total frame: 10
13:50:44.483: 23101ms, Total frame: 11
13:50:44.511: 24604ms, Total frame: 12
13:50:44.539: 27913ms, Total frame: 13
13:50:44.577: 37369ms, Total frame: 14
13:50:44.629: 52190ms, Total frame: 15
13:50:44.643: 13699ms, Total frame: 16
13:50:44.703: 59421ms, Total frame: 17
13:50:44.765: 61784ms, Total frame: 18
13:50:44.807: 39647ms, Total frame: 19
13:50:44.824: 17107ms, Total frame: 20
13:50:44.830: 5836ms, Total frame: 21
13:50:44.884: 53214ms, Total frame: 22
13:50:44.898: 13949ms, Total frame: 23
13:50:44.924: 26625ms, Total frame: 24
13:50:44.938: 13149ms, Total frame: 25
13:50:44.980: 41045ms, Total frame: 26
13:50:45.005: 24533ms, Total frame: 27
13:50:45.090: 85053ms, Total frame: 28
13:50:45.114: Frames in the last second: 25, Frame loss: 0, Total frame: 29
13:50:45.123: 33083ms, Total frame: 29
13:50:45.153: 25941ms, Total frame: 30
13:50:45.231: 77863ms, Total frame: 31
13:50:45.254: 21765ms, Total frame: 32
13:50:45.321: 66177ms, Total frame: 33
13:50:45.341: 19513ms, Total frame: 34
13:50:45.383: 37695ms, Total frame: 35
13:50:45.413: 30144ms, Total frame: 36
13:50:45.459: 42396ms, Total frame: 37
13:50:45.478: 19365ms, Total frame: 38
13:50:45.524: 45067ms, Total frame: 39
13:50:45.574: 50026ms, Total frame: 40
13:50:45.615: 40386ms, Total frame: 41
13:50:45.682: 67012ms, Total frame: 42
13:50:45.826: 143299ms, Total frame: 43
13:50:45.842: 15230ms, Total frame: 44
13:50:45.870: 28401ms, Total frame: 45
13:50:45.910: 39904ms, Total frame: 46
13:50:45.969: 58383ms, Total frame: 47
13:50:46.025: 55270ms, Total frame: 48
13:50:46.037: 12725ms, Total frame: 49
13:50:46.090: 52452ms, Total frame: 50
13:50:46.122: 31461ms, Total frame: 51
13:50:46.126: Frames in the last second: 23, Frame loss: 0, Total frame: 52
13:50:46.143: 21314ms, Total frame: 52
13:50:46.229: 83367ms, Total frame: 53
13:50:46.262: 32460ms, Total frame: 54
13:50:46.297: 33509ms, Total frame: 55
13:50:46.336: 39033ms, Total frame: 56
13:50:46.398: 60652ms, Total frame: 57
13:50:46.428: 29857ms, Total frame: 58
13:50:46.568: 132204ms, Total frame: 59
13:50:46.594: 25171ms, Total frame: 60
13:50:46.628: 33373ms, Total frame: 61
13:50:46.656: 17679ms, Total frame: 62
13:50:46.699: 42408ms, Total frame: 63
