
Camera FPS set to: 30
Camera resolution set to: 640x480


10:46:20.180: 3876ms, Total frame: 1
10:46:21.370: 5ms, Total frame: 2
10:46:21.372: Frames in the last second: 2, Frame loss: 0, Total frame: 2
10:46:21.399: 7ms, Total frame: 3
10:46:21.409: 487ms, Total frame: 4
10:46:21.417: 6ms, Total frame: 5
10:46:21.455: 1ms, Total frame: 6
10:46:21.463: 1ms, Total frame: 7
10:46:21.488: 3ms, Total frame: 8
10:46:21.497: 1ms, Total frame: 9
10:46:21.508: 1ms, Total frame: 10
10:46:21.514: 1ms, Total frame: 11
10:46:21.537: 1ms, Total frame: 12
10:46:21.549: 2ms, Total frame: 13
10:46:21.565: 1ms, Total frame: 14
10:46:21.579: 2ms, Total frame: 15
10:46:21.587: 1ms, Total frame: 16
10:46:21.595: 1ms, Total frame: 17
10:46:21.608: 3ms, Total frame: 18
10:46:21.619: 1ms, Total frame: 19
10:46:21.662: 2ms, Total frame: 20
10:46:21.673: 1ms, Total frame: 21
10:46:21.691: 1ms, Total frame: 22
10:46:21.697: 1ms, Total frame: 23
10:46:21.845: 127518ms, Total frame: 24
10:46:21.900: 41082ms, Total frame: 25
10:46:22.014: 86824ms, Total frame: 26
10:46:22.092: 72452ms, Total frame: 27
10:46:22.139: 42042ms, Total frame: 28
10:46:22.189: 45307ms, Total frame: 29
10:46:22.257: 62871ms, Total frame: 30
10:46:22.309: 46555ms, Total frame: 31
10:46:22.387: 72600ms, Total frame: 32
10:46:22.387: Frames in the last second: 30, Frame loss: 0, Total frame: 32
10:46:22.436: 45414ms, Total frame: 33
10:46:22.483: 17803ms, Total frame: 34
10:46:22.549: 31839ms, Total frame: 35
10:46:22.610: 51915ms, Total frame: 36
10:46:22.674: 47161ms, Total frame: 37
10:46:22.750: 5838ms, Total frame: 38
10:46:22.802: 49421ms, Total frame: 39
10:46:22.906: 91816ms, Total frame: 40
10:46:22.966: 52263ms, Total frame: 41
10:46:23.033: 55253ms, Total frame: 42
10:46:23.098: 50084ms, Total frame: 43
10:46:23.203: 97382ms, Total frame: 44
10:46:23.264: 57075ms, Total frame: 45
10:46:23.330: 45043ms, Total frame: 46
10:46:23.377: 39352ms, Total frame: 47
10:46:23.460: 54126ms, Total frame: 48
10:46:23.460: Frames in the last second: 16, Frame loss: 0, Total frame: 48
10:46:23.503: 29245ms, Total frame: 49
10:46:23.583: 51825ms, Total frame: 50
10:46:23.652: 57612ms, Total frame: 51
10:46:23.699: 38088ms, Total frame: 52
10:46:23.744: 40044ms, Total frame: 53
10:46:23.821: 72209ms, Total frame: 54
10:46:23.876: 46223ms, Total frame: 55
10:46:23.943: 59459ms, Total frame: 56
10:46:23.989: 36401ms, Total frame: 57
10:46:24.060: 65963ms, Total frame: 58
10:46:24.112: 45129ms, Total frame: 59
10:46:24.160: 41077ms, Total frame: 60
10:46:24.230: 65436ms, Total frame: 61
10:46:24.283: 46992ms, Total frame: 62
10:46:24.343: 33123ms, Total frame: 63
10:46:24.392: 40325ms, Total frame: 64
10:46:24.449: 50514ms, Total frame: 65
10:46:24.515: 60350ms, Total frame: 66
10:46:24.516: Frames in the last second: 18, Frame loss: 0, Total frame: 66
10:46:24.586: 47528ms, Total frame: 67
10:46:24.655: 54697ms, Total frame: 68
10:46:24.760: 95922ms, Total frame: 69
10:46:24.822: 56976ms, Total frame: 70
10:46:24.959: 130916ms, Total frame: 71
10:46:25.011: 45220ms, Total frame: 72
10:46:25.079: 61910ms, Total frame: 73
10:46:25.152: 59898ms, Total frame: 74
10:46:25.257: 60972ms, Total frame: 75
10:46:25.324: 59569ms, Total frame: 76
